state,Africa,Americas,Asia,Europe,Oceania,Unknown,Global
Total,346882,1594967,1373056,346088,17902,1475,3694073
California,23614,298491,355638,48996,6633,233,733756
New York,29528,184528,142189,45464,964,116,402904
Florida,10493,340938,45253,31365,602,191,429017
Illinois,9313,37639,52143,28119,299,56,127720
New Jersey,16124,77969,63996,19314,242,88,177890
Massachusetts,18701,46336,38022,16782,327,61,120403
Texas,33480,176930,117185,15055,907,112,343799
Washington,10223,19185,41417,14466,1411,12,86909
Pennsylvania,12476,22618,38095,11456,262,25,85083
Michigan,4544,9859,41676,9700,175,38,66177
Virginia,17350,27382,47695,8272,306,31,101190
Georgia,15510,34479,37773,8180,311,24,96469
Connecticut,3116,19427,11369,7916,134,8,42183
North Carolina,9893,25057,27916,7254,268,36,70579
Ohio,14559,8214,30407,6446,157,40,60015
Maryland,26428,24534,31914,5958,149,35,89165
Colorado,6039,15884,13591,5719,441,11,41859
Oregon,2245,11364,12812,5339,423,8,32425
Arizona,4367,35307,18679,4939,308,20,63857
Missouri,4003,5547,11051,3592,135,13,24591
South Carolina,1793,7905,6945,3466,148,11,20520
Unknown,4599,14679,12789,3422,269,149,36002
Minnesota,20706,6990,19419,3400,134,10,50863
Nevada,2510,20392,16170,3393,270,3,42976
Wisconsin,2228,6268,9286,2864,94,7,20953
Indiana,4359,8467,14927,2538,78,14,30604
Tennessee,6101,7993,11728,2504,142,9,28703
Utah,1455,10781,6045,1598,744,5,20915
Kentucky,3257,5103,7948,1539,50,5,18179
Iowa,4227,4246,7456,1352,51,5,17615
New Hampshire,777,2111,3227,1329,55,8,7784
Rhode Island,2676,6648,2003,1313,21,8,12985
District Of Columbia,3000,2796,1514,1160,45,1,8840
Alabama,1203,3784,5869,1105,45,4,12316
Louisiana,975,5931,6378,1091,55,17,14772
Idaho,651,4005,2620,1047,60,3,8680
Oklahoma,1951,7180,7592,1019,62,1,18116
Hawaii,117,1097,13454,810,612,10,16462
Kansas,2373,6500,7034,797,46,7,17048
New Mexico,392,10869,2649,791,46,13,15064
Maine,1159,923,1701,776,41,1,4932
Alaska,298,967,2566,703,209,1,5130
Nebraska,2668,4711,6129,502,17,6,14362
Delaware,1415,2195,2555,496,9,2,6966
Vermont,291,449,1439,496,14,0,3047
Arkansas,401,5013,3410,483,32,4,9716
Montana,54,465,484,353,34,0,1713
Mississippi,293,1763,2238,259,9,2,4888
West Virginia,323,584,997,233,3,1,2438
Puerto Rico,3,8677,161,213,0,6,9271
North Dakota,1468,425,1161,204,3,2,3569
South Dakota,1013,447,1579,167,4,0,3518
Wyoming,39,507,294,144,17,0,1274
U S  Armed Services Posts,101,194,447,116,4,0,1167
U S  Territories1,0,2205,771,47,4,2,3241
Guam,0,9,3250,26,21,0,3453